[INFO 5:34:47 PM] alexdauenhauer.catppuccin-noctis-icons activated
[INFO 5:34:47 PM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 5:34:47 PM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 5:34:47 PM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 5:34:48 PM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 5:34:48 PM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 5:34:48 PM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 5:34:51 PM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 5:34:51 PM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 5:34:51 PM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 5:34:52 PM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 5:34:52 PM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 5:34:52 PM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 5:34:53 PM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 5:34:53 PM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 5:34:53 PM] catppuccin-noctis-icons.files.associations changed, updating to undefined
