[INFO 9:36:23 AM] alexdauenhauer.catppuccin-noctis-icons activated
[INFO 9:36:23 AM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 9:36:23 AM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 9:36:23 AM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 9:36:24 AM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 9:36:24 AM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 9:36:24 AM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 9:37:51 AM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 9:37:51 AM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 9:37:51 AM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 9:37:52 AM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 9:37:52 AM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 9:37:52 AM] catppuccin-noctis-icons.files.associations changed, updating to undefined
